Название,Ссылка,shit,crap,Рейтинг,Смотрящих,Аудитория,Сезонов,Год,dell
Bering Sea Gold: Dredging the Deep  ,https://myshows.me/view/58315/,['catalogTableSubHeader'],,"['stars', '_0']",1,0%,1,2017,
Puppy Days  ,https://myshows.me/view/62900/,['catalogTableSubHeader'],,"['stars', '_0']",1,0%,1,2017,
Mountain Men: Fully Loaded  ,https://myshows.me/view/53866/,['catalogTableSubHeader'],,"['stars', '_0']",1,0%,1,2017,
Baahubali: The Lost Legends  ,https://myshows.me/view/72798/,['catalogTableSubHeader'],,"['stars', '_0']",1,0%,5,2017,
American Koko  ,https://myshows.me/view/59539/,['catalogTableSubHeader'],,"['stars', '_0']",1,0%,2,2017,
Grown Folks  ,https://myshows.me/view/55197/,['catalogTableSubHeader'],,"['stars', '_0']",1,0%,1,2017,
Funny How?  ,https://myshows.me/view/54218/,['catalogTableSubHeader'],,"['stars', '_0']",1,0%,1,2017,
CBSN: On Assignment  ,https://myshows.me/view/54408/,['catalogTableSubHeader'],,"['stars', '_0']",1,0%,1,2017,
Crashed  ,https://myshows.me/view/52559/,['catalogTableSubHeader'],,"['stars', '_4']",1,0%,1,2017,
Love Connection  ,https://myshows.me/view/53510/,['catalogTableSubHeader'],,"['stars', '_4']",1,0%,2,2017,
Halloween Wars: Hayride of Horror  ,https://myshows.me/view/55045/,['catalogTableSubHeader'],,"['stars', '_1']",1,0%,1,2017,
The House  ,https://myshows.me/view/67190/,['catalogTableSubHeader'],,"['stars', '_1']",1,0%,1,2017,
Золотые звезды: история турниров Кубка мира ФИФА  Gold Stars: The Story of the FIFA World Cup Tournaments,https://myshows.me/view/63025/,['catalogTableSubHeader'],,"['stars', '_0']",1,0%,1,2017,
Love Kills  ,https://myshows.me/view/58523/,['catalogTableSubHeader'],,"['stars', '_0']",1,0%,1,2017,
Boys Dormitory  ,https://myshows.me/view/71736/,['catalogTableSubHeader'],,"['stars', '_5']",1,0%,1,2017,
A Spot of Science  ,https://myshows.me/view/66457/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Phoenix Flipped  ,https://myshows.me/view/54930/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Baller Wives  ,https://myshows.me/view/54589/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
First Love Story  ,https://myshows.me/view/63745/,['catalogTableSubHeader'],,"['stars', '_0']",,,3,2017,
Behind the Bar  ,https://myshows.me/view/61037/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Commander Inappropriate  ,https://myshows.me/view/68883/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Last Minute Trips  ,https://myshows.me/view/66641/,['catalogTableSubHeader'],,"['stars', '_0']",,,2,2017,
America: Promised Land  ,https://myshows.me/view/61879/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Obama: The Price of Hope  ,https://myshows.me/view/69010/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Commander Life  ,https://myshows.me/view/68882/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Challenge Chalice  ,https://myshows.me/view/62694/,['catalogTableSubHeader'],,"['stars', '_0']",,,103,2017,
Dessert Games  ,https://myshows.me/view/54215/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Trauma Down Under  ,https://myshows.me/view/56547/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Chopped: Alton's Challenge  ,https://myshows.me/view/57197/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Lawless Oceans  ,https://myshows.me/view/69235/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
You the Jury  ,https://myshows.me/view/59775/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Vinny & Ma Eat America  ,https://myshows.me/view/57157/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
The Boonies  ,https://myshows.me/view/57769/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Monster Encounters  ,https://myshows.me/view/66185/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Pen Tor: Uncensored Pool Party  ,https://myshows.me/view/69418/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Life After First Failure  ,https://myshows.me/view/68520/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
iHeartSummer '17 Weekend by AT&T  ,https://myshows.me/view/56136/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Unsend  ,https://myshows.me/view/70726/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Southern and Hungry  ,https://myshows.me/view/57888/,['catalogTableSubHeader'],,"['stars', '_0']",,,2,2017,
Guy's Big Project  ,https://myshows.me/view/58219/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
The Untold Story of the 90s  ,https://myshows.me/view/61376/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Moltissimo  ,https://myshows.me/view/53739/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
С тобой любовь - настоящая  Love Is Actually With You,https://myshows.me/view/63670/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Beyond Reasonable Doubt  ,https://myshows.me/view/65283/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Nick Stellino: Storyteller in the Kitchen  ,https://myshows.me/view/65354/,['catalogTableSubHeader'],,"['stars', '_0']",,,2,2017,
Crazy Cookie Builds  ,https://myshows.me/view/62135/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Great Food Truck Rally  ,https://myshows.me/view/57899/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Chi-Town Flip  ,https://myshows.me/view/55234/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
China's Wild Side  ,https://myshows.me/view/57836/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Pushpavalli  ,https://myshows.me/view/61118/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Inside Secret Places with Chris Cuomo  ,https://myshows.me/view/55458/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Law of Perdition  ,https://myshows.me/view/58752/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Akil the Fugitive Hunter  ,https://myshows.me/view/59035/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
BBQ Rig Race  ,https://myshows.me/view/64304/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
"He Sells, She Sells  ",https://myshows.me/view/59969/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Big Star Little Star  ,https://myshows.me/view/53761/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Ayesha's Home Kitchen  ,https://myshows.me/view/72755/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
The Back Pages  ,https://myshows.me/view/63121/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Ahamed's Ramadan Diary  ,https://myshows.me/view/66972/,['catalogTableSubHeader'],,"['stars', '_0']",,,2,2017,
Broke and Famous  ,https://myshows.me/view/63998/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Fox Tossing  ,https://myshows.me/view/67023/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Chicago Flippers  ,https://myshows.me/view/69552/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Trip Testers  ,https://myshows.me/view/69549/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Versus  ,https://myshows.me/view/66538/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Married at First Sight: Second Chances  ,https://myshows.me/view/54228/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
Campo de Estrellas  ,https://myshows.me/view/59994/,['catalogTableSubHeader'],,"['stars', '_0']",,,2,2017,
Lies of Spring  ,https://myshows.me/view/69160/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
"The ""S"" Word with Vanessa Lengies  ",https://myshows.me/view/69027/,['catalogTableSubHeader'],,"['stars', '_0']",,,1,2017,
13 причин почему  13 Reasons Why,https://myshows.me/view/52409/,['catalogTableSubHeader'],,"['stars', '_4']",123 277,17.49%,4,2017,
Большая маленькая ложь  Big Little Lies,https://myshows.me/view/50145/,['catalogTableSubHeader'],,"['stars', '_4']",78 978,11.21%,2,2017,
Тьма  Dark,https://myshows.me/view/55085/,['catalogTableSubHeader'],,"['stars', '_4']",75 223,10.67%,3,2017,
Американские боги  American Gods,https://myshows.me/view/48920/,['catalogTableSubHeader'],,"['stars', '_4']",69 796,9.9%,3,2017,
Охотник за разумом  MINDHUNTER,https://myshows.me/view/52794/,['catalogTableSubHeader'],,"['stars', '_4']",47 719,6.77%,2,2017,
Легион  Legion,https://myshows.me/view/48197/,['catalogTableSubHeader'],,"['stars', '_4']",46 583,6.61%,3,2017,
Каратель  Marvel's The Punisher,https://myshows.me/view/49255/,['catalogTableSubHeader'],,"['stars', '_4']",38 972,5.53%,2,2017,
Защитники  Marvel's The Defenders,https://myshows.me/view/44952/,['catalogTableSubHeader'],,"['stars', '_4']",34 084,4.84%,1,2017,
Лемони Сникет: 33 несчастья  A Series of Unfortunate Events,https://myshows.me/view/48982/,['catalogTableSubHeader'],,"['stars', '_4']",33 130,4.7%,3,2017,
Железный кулак  Marvel's Iron Fist,https://myshows.me/view/39601/,['catalogTableSubHeader'],,"['stars', '_4']",32 000,4.54%,2,2017,
Одаренные  The Gifted,https://myshows.me/view/52901/,['catalogTableSubHeader'],,"['stars', '_4']",24 623,3.49%,2,2017,
Мистер Мерседес  Mr. Mercedes,https://myshows.me/view/53585/,['catalogTableSubHeader'],,"['stars', '_4']",22 059,3.13%,3,2017,
Хэппи!  Happy!,https://myshows.me/view/54629/,['catalogTableSubHeader'],,"['stars', '_4']",19 777,2.81%,2,2017,
Американский вандал  American Vandal,https://myshows.me/view/54433/,['catalogTableSubHeader'],,"['stars', '_4']",17 842,2.53%,2,2017,
Сверхлюди  Marvel's Inhumans,https://myshows.me/view/51591/,['catalogTableSubHeader'],,"['stars', '_3']",15 951,2.26%,1,2017,
Беглецы  Marvel's Runaways,https://myshows.me/view/50826/,['catalogTableSubHeader'],,"['stars', '_4']",15 551,2.21%,3,2017,
Изумрудный город  Emerald City,https://myshows.me/view/50708/,['catalogTableSubHeader'],,"['stars', '_4']",15 518,2.2%,1,2017,
Мгла  The Mist,https://myshows.me/view/44546/,['catalogTableSubHeader'],,"['stars', '_3']",14 688,2.08%,1,2017,
Двойка  The Deuce,https://myshows.me/view/51831/,['catalogTableSubHeader'],,"['stars', '_4']",14 039,1.99%,3,2017,
Человек будущего  Future Man,https://myshows.me/view/54291/,['catalogTableSubHeader'],,"['stars', '_4']",12 780,1.81%,3,2017,
Двойник  Counterpart,https://myshows.me/view/48015/,['catalogTableSubHeader'],,"['stars', '_4']",12 600,1.79%,2,2017,
Блеск  GLOW,https://myshows.me/view/52797/,['catalogTableSubHeader'],,"['stars', '_4']",10 975,1.56%,3,2017,
Забытые Богом  Godless,https://myshows.me/view/49373/,['catalogTableSubHeader'],,"['stars', '_4']",9 831,1.4%,1,2017,
Большой куш  Snatch,https://myshows.me/view/49189/,['catalogTableSubHeader'],,"['stars', '_4']",9 006,1.28%,2,2017,
Вражда  Feud,https://myshows.me/view/52249/,['catalogTableSubHeader'],,"['stars', '_4']",8 954,1.27%,1,2017,
"Миднайт, Техас	  Midnight, Texas",https://myshows.me/view/49403/,['catalogTableSubHeader'],,"['stars', '_4']",8 823,1.25%,2,2017,
Диета из Санта-Клариты  Santa Clarita Diet,https://myshows.me/view/51692/,['catalogTableSubHeader'],,"['stars', '_4']",8 742,1.24%,3,2017,
Утиные истории  DuckTales,https://myshows.me/view/51467/,['catalogTableSubHeader'],,"['stars', '_4']",7 823,1.11%,3,2017,
Белая принцесса  The White Princess,https://myshows.me/view/50989/,['catalogTableSubHeader'],,"['stars', '_4']",7 030,1%,1,2017,
Начальница  Girlboss,https://myshows.me/view/52824/,['catalogTableSubHeader'],,"['stars', '_4']",6 975,0.99%,1,2017,
11.22.63  ,https://myshows.me/view/44937/,['catalogTableSubHeader'],,"['stars', '_4']",78 069,11.08%,1,2016,
Проповедник  Preacher,https://myshows.me/view/44997/,['catalogTableSubHeader'],,"['stars', '_4']",76 995,10.93%,4,2016,
Холистическое детективное агентство Дирка Джентли  Dirk Gently's Holistic Detective Agency,https://myshows.me/view/49623/,['catalogTableSubHeader'],,"['stars', '_4']",56 091,7.96%,2,2016,
Сумеречные охотники  Shadowhunters: The Mortal Instruments,https://myshows.me/view/43533/,['catalogTableSubHeader'],,"['stars', '_4']",44 112,6.26%,3,2016,
Люк Кейдж  Marvel's Luke Cage,https://myshows.me/view/39602/,['catalogTableSubHeader'],,"['stars', '_4']",32 335,4.59%,2,2016,
Хроники Шаннары  The Shannara Chronicles,https://myshows.me/view/43880/,['catalogTableSubHeader'],,"['stars', '_4']",31 839,4.52%,2,2016,
Однажды ночью  The Night Of,https://myshows.me/view/49283/,['catalogTableSubHeader'],,"['stars', '_4']",23 439,3.33%,1,2016,
ОА  The OA,https://myshows.me/view/51886/,['catalogTableSubHeader'],,"['stars', '_4']",22 563,3.2%,2,2016,
Хорошее место  The Good Place,https://myshows.me/view/49873/,['catalogTableSubHeader'],,"['stars', '_4']",22 315,3.17%,4,2016,
Изоляция  Containment,https://myshows.me/view/43697/,['catalogTableSubHeader'],,"['stars', '_4']",14 439,2.05%,1,2016,
Смертельное оружие  Lethal Weapon,https://myshows.me/view/49875/,['catalogTableSubHeader'],,"['stars', '_4']",13 631,1.93%,3,2016,
Вне времени  Timeless,https://myshows.me/view/49404/,['catalogTableSubHeader'],,"['stars', '_4']",13 617,1.93%,2,2016,
Изгоняющий дьявола  The Exorcist,https://myshows.me/view/49876/,['catalogTableSubHeader'],,"['stars', '_4']",13 221,1.88%,2,2016,
Свидетели  Eyewitness,https://myshows.me/view/50417/,['catalogTableSubHeader'],,"['stars', '_4']",11 964,1.7%,1,2016,
Винил  Vinyl,https://myshows.me/view/44488/,['catalogTableSubHeader'],,"['stars', '_4']",11 348,1.61%,1,2016,
Мертвое лето  Dead of Summer,https://myshows.me/view/48016/,['catalogTableSubHeader'],,"['stars', '_3']",10 038,1.42%,1,2016,
Колония  Colony,https://myshows.me/view/43650/,['catalogTableSubHeader'],,"['stars', '_4']",9 881,1.4%,3,2016,
Нулевой канал  Channel Zero,https://myshows.me/view/45282/,['catalogTableSubHeader'],,"['stars', '_3']",9 359,1.33%,4,2016,
Радиоволна  Frequency,https://myshows.me/view/49887/,['catalogTableSubHeader'],,"['stars', '_4']",8 147,1.16%,1,2016,
Стартап  StartUp,https://myshows.me/view/49152/,['catalogTableSubHeader'],,"['stars', '_4']",8 111,1.15%,3,2016,
Дэмиен  Damien,https://myshows.me/view/43900/,['catalogTableSubHeader'],,"['stars', '_3']",7 759,1.1%,1,2016,
Три процента	  3%,https://myshows.me/view/51180/,['catalogTableSubHeader'],,"['stars', '_4']",7 701,1.09%,4,2016,
Путешественники  Travelers,https://myshows.me/view/50726/,['catalogTableSubHeader'],,"['stars', '_4']",7 427,1.05%,3,2016,
Путь   The Path,https://myshows.me/view/45424/,['catalogTableSubHeader'],,"['stars', '_4']",7 385,1.05%,3,2016,
Вайнона Эрп  Wynonna Earp,https://myshows.me/view/48277/,['catalogTableSubHeader'],,"['stars', '_4']",7 057,1%,4,2016,
Завучи  Vice Principals,https://myshows.me/view/49133/,['catalogTableSubHeader'],,"['stars', '_4']",6 893,0.98%,2,2016,
Доктор Шанс  Chance,https://myshows.me/view/48065/,['catalogTableSubHeader'],,"['stars', '_4']",6 757,0.96%,2,2016,
Любовь  Love,https://myshows.me/view/48114/,['catalogTableSubHeader'],,"['stars', '_4']",6 734,0.96%,3,2016,
Второй шанс  Second Chance,https://myshows.me/view/45168/,['catalogTableSubHeader'],,"['stars', '_4']",6 641,0.94%,1,2016,
Хорас и Пит  Horace and Pete,https://myshows.me/view/48296/,['catalogTableSubHeader'],,"['stars', '_4']",6 308,0.9%,1,2016,
Безмозглые  BrainDead,https://myshows.me/view/48754/,['catalogTableSubHeader'],,"['stars', '_4']",6 227,0.88%,1,2016,
Корпорация   Incorporated,https://myshows.me/view/48595/,['catalogTableSubHeader'],,"['stars', '_4']",6 131,0.87%,1,2016,
Последний кандидат  Designated Survivor,https://myshows.me/view/49331/,['catalogTableSubHeader'],,"['stars', '_4']",5 607,0.8%,3,2016,
Ловушка  The Catch,https://myshows.me/view/45237/,['catalogTableSubHeader'],,"['stars', '_4']",5 405,0.77%,2,2016,
Развод  Divorce,https://myshows.me/view/50374/,['catalogTableSubHeader'],,"['stars', '_3']",5 270,0.75%,3,2016,
Наемник Куорри  Quarry,https://myshows.me/view/43860/,['catalogTableSubHeader'],,"['stars', '_4']",4 703,0.67%,1,2016,
Стрелок  Shooter,https://myshows.me/view/49475/,['catalogTableSubHeader'],,"['stars', '_4']",4 682,0.66%,3,2016,
Вольтрон: Легендарный защитник  Voltron: Legendary Defender,https://myshows.me/view/49364/,['catalogTableSubHeader'],,"['stars', '_4']",4 651,0.66%,8,2016,
Отжиг  The Get Down,https://myshows.me/view/48177/,['catalogTableSubHeader'],,"['stars', '_4']",4 508,0.64%,2,2016,
Американская готика  American Gothic,https://myshows.me/view/48757/,['catalogTableSubHeader'],,"['stars', '_4']",4 397,0.62%,1,2016,
Кайф с доставкой  High Maintenance,https://myshows.me/view/50861/,['catalogTableSubHeader'],,"['stars', '_4']",4 323,0.61%,4,2016,
Стэн против сил зла  Stan Against Evil,https://myshows.me/view/50371/,['catalogTableSubHeader'],,"['stars', '_4']",4 302,0.61%,3,2016,
Оттенки синего  Shades of Blue,https://myshows.me/view/44919/,['catalogTableSubHeader'],,"['stars', '_4']",4 144,0.59%,3,2016,
Агенты «Щ.И.Т.»: Йо-йо  Marvel's Agents of S.H.I.E.L.D.: Slingshot,https://myshows.me/view/51822/,['catalogTableSubHeader'],,"['stars', '_4']",4 105,0.58%,1,2016,
Ужасы интернета  Bad Internet,https://myshows.me/view/49654/,['catalogTableSubHeader'],,"['stars', '_4']",3 979,0.56%,1,2016,
Семья  The Family,https://myshows.me/view/45238/,['catalogTableSubHeader'],,"['stars', '_4']",3 946,0.56%,1,2016,
Хорошее поведение  Good Behavior,https://myshows.me/view/50375/,['catalogTableSubHeader'],,"['stars', '_4']",3 818,0.54%,2,2016,
Проще простого  Easy,https://myshows.me/view/50341/,['catalogTableSubHeader'],,"['stars', '_3']",3 734,0.53%,3,2016,
Девочки Гилмор: Год из жизни  Gilmore Girls: A Year in the Life,https://myshows.me/view/50097/,['catalogTableSubHeader'],,"['stars', '_4']",3 732,0.53%,1,2016,
Гастролёры  Roadies,https://myshows.me/view/48379/,['catalogTableSubHeader'],,"['stars', '_4']",3 696,0.52%,1,2016,
Кризис в шести сценах  Crisis in Six Scenes,https://myshows.me/view/50449/,['catalogTableSubHeader'],,"['stars', '_4']",3 689,0.52%,1,2016,
Тик-герой	  The Tick,https://myshows.me/view/50263/,['catalogTableSubHeader'],,"['stars', '_4']",3 684,0.52%,2,2016,
Охотники на троллей  Trollhunters: Tales of Arcadia,https://myshows.me/view/51164/,['catalogTableSubHeader'],,"['stars', '_4']",3 664,0.52%,3,2016,
Граница  Frontier,https://myshows.me/view/50487/,['catalogTableSubHeader'],,"['stars', '_4']",3 611,0.51%,3,2016,
Ясновидец  Shut Eye,https://myshows.me/view/49310/,['catalogTableSubHeader'],,"['stars', '_4']",3 525,0.5%,2,2016,
Баскетс  Baskets,https://myshows.me/view/45186/,['catalogTableSubHeader'],,"['stars', '_3']",3 442,0.49%,4,2016,
Ложное обвинение  Conviction,https://myshows.me/view/49392/,['catalogTableSubHeader'],,"['stars', '_4']",3 426,0.49%,1,2016,
Животные  Animals.,https://myshows.me/view/45435/,['catalogTableSubHeader'],,"['stars', '_4']",3 359,0.48%,3,2016,
Изгои  Outsiders,https://myshows.me/view/45195/,['catalogTableSubHeader'],,"['stars', '_4']",3 317,0.47%,2,2016,
Сладкие и порочные  Sweet/Vicious,https://myshows.me/view/51156/,['catalogTableSubHeader'],,"['stars', '_4']",3 315,0.47%,1,2016,
Последний магнат  The Last Tycoon,https://myshows.me/view/49791/,['catalogTableSubHeader'],,"['stars', '_4']",3 195,0.45%,1,2016,
Жан-Клод Ван Джонсон  Jean-Claude Van Johnson,https://myshows.me/view/50262/,['catalogTableSubHeader'],,"['stars', '_3']",3 157,0.45%,1,2016,
Мыслить как преступник: За границей   Criminal Minds: Beyond Borders,https://myshows.me/view/44548/,['catalogTableSubHeader'],,"['stars', '_4']",2 951,0.42%,2,2016,
Ангел из ада  Angel from Hell,https://myshows.me/view/43115/,['catalogTableSubHeader'],,"['stars', '_3']",2 734,0.39%,1,2016,
Накорми зверя  Feed the Beast,https://myshows.me/view/48919/,['catalogTableSubHeader'],,"['stars', '_4']",2 681,0.38%,1,2016,
Падающая вода  Falling Water,https://myshows.me/view/50400/,['catalogTableSubHeader'],,"['stars', '_3']",2 587,0.37%,2,2016,
Обвиняемая  Guilt,https://myshows.me/view/48983/,['catalogTableSubHeader'],,"['stars', '_3']",2 423,0.34%,1,2016,
Крушение  Wrecked,https://myshows.me/view/49144/,['catalogTableSubHeader'],,"['stars', '_3']",2 247,0.32%,3,2016,
Хэп и Леонард  Hap and Leonard,https://myshows.me/view/48082/,['catalogTableSubHeader'],,"['stars', '_4']",2 217,0.31%,3,2016,
Энджи Трайбека  Angie Tribeca,https://myshows.me/view/45104/,['catalogTableSubHeader'],,"['stars', '_3']",2 184,0.31%,4,2016,
Харли и братья Дэвидсон  Harley and the Davidsons,https://myshows.me/view/50586/,['catalogTableSubHeader'],,"['stars', '_4']",2 146,0.3%,1,2016,
Все схвачено  Man With a Plan,https://myshows.me/view/49946/,['catalogTableSubHeader'],,"['stars', '_4']",2 096,0.3%,4,2016,
Разбивающая сердца  Heartbeat,https://myshows.me/view/48208/,['catalogTableSubHeader'],,"['stars', '_4']",2 086,0.3%,1,2016,
Просто нет слов  Speechless,https://myshows.me/view/50000/,['catalogTableSubHeader'],,"['stars', '_4']",2 002,0.28%,3,2016,
Подчинение  Submission,https://myshows.me/view/49297/,['catalogTableSubHeader'],,"['stars', '_3']",2 001,0.28%,1,2016,
Завтра не наступит  No Tomorrow,https://myshows.me/view/49888/,['catalogTableSubHeader'],,"['stars', '_4']",1 988,0.28%,1,2016,
В четырех стенах  The Great Indoors,https://myshows.me/view/49400/,['catalogTableSubHeader'],,"['stars', '_3']",1 807,0.26%,1,2016,
Земляне  People of Earth,https://myshows.me/view/50476/,['catalogTableSubHeader'],,"['stars', '_4']",1 804,0.26%,2,2016,
В объезд   The Detour,https://myshows.me/view/48305/,['catalogTableSubHeader'],,"['stars', '_4']",1 748,0.25%,4,2016,
Дурная слава  Notorious,https://myshows.me/view/49760/,['catalogTableSubHeader'],,"['stars', '_4']",1 695,0.24%,1,2016,
Охотники  Hunters,https://myshows.me/view/47979/,['catalogTableSubHeader'],,"['stars', '_3']",1 681,0.24%,1,2016,
Настоящие О’Нилы  The Real O'Neals,https://myshows.me/view/45254/,['catalogTableSubHeader'],,"['stars', '_4']",1 677,0.24%,2,2016,
Настоящий гений	  Pure Genius,https://myshows.me/view/49493/,['catalogTableSubHeader'],,"['stars', '_4']",1 659,0.24%,1,2016,
Сын Зорна  Son of Zorn,https://myshows.me/view/49443/,['catalogTableSubHeader'],,"['stars', '_3']",1 625,0.23%,1,2016,
Берлинская резидентура  Berlin Station,https://myshows.me/view/50361/,['catalogTableSubHeader'],,"['stars', '_4']",1 596,0.23%,3,2016,
Бойтесь ходячих мертвецов: Проход   Fear the Walking Dead: Passage,https://myshows.me/view/51340/,['catalogTableSubHeader'],,"['stars', '_3']",1 485,0.21%,1,2016,
Коллекция  The Collection,https://myshows.me/view/48269/,['catalogTableSubHeader'],,"['stars', '_4']",1 425,0.2%,1,2016,
Корни  Roots,https://myshows.me/view/48374/,['catalogTableSubHeader'],,"['stars', '_4']",1 409,0.2%,1,2016,
Подача  Pitch,https://myshows.me/view/49877/,['catalogTableSubHeader'],,"['stars', '_4']",1 397,0.2%,1,2016,
Умник  Cleverman,https://myshows.me/view/45323/,['catalogTableSubHeader'],,"['stars', '_3']",1 371,0.19%,2,2016,
Бонг времени  Time Traveling Bong,https://myshows.me/view/48978/,['catalogTableSubHeader'],,"['stars', '_4']",1 350,0.19%,1,2016,
Ранчо  The Ranch,https://myshows.me/view/48166/,['catalogTableSubHeader'],,"['stars', '_4']",1 297,0.18%,4,2016,
Мир Винкс   World of Winx,https://myshows.me/view/51458/,['catalogTableSubHeader'],,"['stars', '_4']",1 296,0.18%,2,2016,
Улица милосердия  Mercy Street,https://myshows.me/view/44572/,['catalogTableSubHeader'],,"['stars', '_4']",1 286,0.18%,2,2016,
Час пик  Rush Hour,https://myshows.me/view/48097/,['catalogTableSubHeader'],,"['stars', '_4']",1 240,0.18%,1,2016,
Жуть  Freakish,https://myshows.me/view/50645/,['catalogTableSubHeader'],,"['stars', '_3']",1 225,0.17%,2,2016,
Пятый день  Day 5,https://myshows.me/view/49929/,['catalogTableSubHeader'],,"['stars', '_4']",1 167,0.17%,2,2016,
Руководство по выживанию от Купера Баррэта  Cooper Barrett's Guide to Surviving Life,https://myshows.me/view/45174/,['catalogTableSubHeader'],,"['stars', '_4']",1 069,0.15%,1,2016,
Кевин подождет  Kevin Can Wait,https://myshows.me/view/49939/,['catalogTableSubHeader'],,"['stars', '_3']",1 040,0.15%,2,2016,
С чистого листа  Flaked,https://myshows.me/view/48165/,['catalogTableSubHeader'],,"['stars', '_3']",957,0.14%,2,2016,
Приграничный город  Bordertown,https://myshows.me/view/44536/,['catalogTableSubHeader'],,"['stars', '_4']",941,0.13%,1,2016,
Подземка  Underground,https://myshows.me/view/44547/,['catalogTableSubHeader'],,"['stars', '_4']",936,0.13%,2,2016,
Квантовый разлом  Quantum Break,https://myshows.me/view/49441/,['catalogTableSubHeader'],,"['stars', '_4']",904,0.13%,1,2016,
Путь к выздоровлению  Recovery Road,https://myshows.me/view/43670/,['catalogTableSubHeader'],,"['stars', '_4']",903,0.13%,1,2016,
Цари и пророки  Of Kings and Prophets,https://myshows.me/view/45248/,['catalogTableSubHeader'],,"['stars', '_4']",886,0.13%,1,2016,
Училки   Teachers,https://myshows.me/view/45348/,['catalogTableSubHeader'],,"['stars', '_3']",886,0.13%,3,2016,
Переломные моменты истории  The Crossroads of History,https://myshows.me/view/48561/,['catalogTableSubHeader'],,"['stars', '_4']",761,0.11%,1,2016,
Игра в молчанку  Game of Silence,https://myshows.me/view/48204/,['catalogTableSubHeader'],,"['stars', '_3']",731,0.1%,1,2016,
Флэш: Хроники Циско  The Flash: Chronicles of Cisco,https://myshows.me/view/49971/,['catalogTableSubHeader'],,"['stars', '_4']",722,0.1%,1,2016,
Более полный дом  Fuller House,https://myshows.me/view/44178/,['catalogTableSubHeader'],,"['stars', '_3']",697,0.1%,5,2016,
Звезда  Star,https://myshows.me/view/51407/,['catalogTableSubHeader'],,"['stars', '_4']",690,0.1%,3,2016,
Гей-каникулы  Gaycation,https://myshows.me/view/48513/,['catalogTableSubHeader'],,"['stars', '_4']",634,0.09%,2,2016,
Долой хейтеров!	  Haters Back Off!,https://myshows.me/view/49975/,['catalogTableSubHeader'],,"['stars', '_3']",625,0.09%,2,2016,
Марсель  Marseille,https://myshows.me/view/48164/,['catalogTableSubHeader'],,"['stars', '_3']",616,0.09%,2,2016,
Американский запад  The American West,https://myshows.me/view/49540/,['catalogTableSubHeader'],,"['stars', '_4']",577,0.08%,1,2016,
